Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
18:09:16 Jan 05 2021,91,81,0,0,0
18:09:18 Jan 05 2021,91,79,0,0,0
18:09:20 Jan 05 2021,92,75,0,0,0
18:09:22 Jan 05 2021,92,73,0,0,0
18:09:24 Jan 05 2021,93,70,0,0,0
18:09:26 Jan 05 2021,93,68,0,0,0
18:09:28 Jan 05 2021,93,68,0,0,0
18:09:30 Jan 05 2021,93,67,0,0,0
18:09:32 Jan 05 2021,93,70,0,0,0
18:09:34 Jan 05 2021,93,73,0,0,0
18:09:36 Jan 05 2021,93,74,0,0,0
18:09:38 Jan 05 2021,93,75,0,0,0
18:09:40 Jan 05 2021,93,75,0,0,0
18:09:42 Jan 05 2021,93,74,0,0,0
18:09:44 Jan 05 2021,93,75,0,0,0
18:09:46 Jan 05 2021,93,76,1,0,0
18:09:48 Jan 05 2021,93,74,0,0,0
18:09:50 Jan 05 2021,93,73,0,0,0
18:09:52 Jan 05 2021,93,72,0,0,0
18:09:54 Jan 05 2021,93,73,0,0,0
18:09:56 Jan 05 2021,93,73,0,0,0
18:09:58 Jan 05 2021,93,72,0,0,0
18:10:00 Jan 05 2021,93,72,0,0,0
18:10:02 Jan 05 2021,93,74,0,0,0
18:10:04 Jan 05 2021,93,74,0,0,0
18:10:06 Jan 05 2021,92,75,0,0,0
18:10:08 Jan 05 2021,90,74,0,0,0
18:10:10 Jan 05 2021,89,73,0,0,0
18:10:12 Jan 05 2021,88,73,0,0,0
18:10:14 Jan 05 2021,89,67,0,0,0
18:10:16 Jan 05 2021,90,66,0,0,0
18:10:18 Jan 05 2021,91,66,1,0,0
18:10:20 Jan 05 2021,92,66,0,0,0
18:10:22 Jan 05 2021,93,70,1,0,0
18:10:24 Jan 05 2021,93,70,0,0,0
18:10:26 Jan 05 2021,93,72,0,0,0
18:10:28 Jan 05 2021,93,74,0,0,0
18:10:30 Jan 05 2021,93,76,0,0,0
18:10:32 Jan 05 2021,94,78,0,0,0
18:10:34 Jan 05 2021,94,76,0,0,0
18:10:36 Jan 05 2021,94,76,1,0,0
18:10:38 Jan 05 2021,94,76,0,0,0
18:10:40 Jan 05 2021,94,77,0,0,0
18:10:42 Jan 05 2021,94,78,0,0,0
18:10:44 Jan 05 2021,94,78,1,0,0
18:10:46 Jan 05 2021,94,80,0,0,0
18:10:48 Jan 05 2021,95,80,0,0,0
18:10:50 Jan 05 2021,95,80,1,0,0
18:10:52 Jan 05 2021,94,76,0,0,0
18:10:54 Jan 05 2021,94,75,0,0,0
18:10:56 Jan 05 2021,94,72,0,0,0
18:10:58 Jan 05 2021,94,70,0,0,0
18:11:00 Jan 05 2021,94,74,0,0,0
18:11:02 Jan 05 2021,94,74,0,0,0
18:11:04 Jan 05 2021,94,74,0,0,0
18:11:06 Jan 05 2021,94,74,0,0,0
18:11:08 Jan 05 2021,94,77,0,0,0
